"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","n"
"1","1 4 2 3      ","1 2 3 4      ",5
"2","1 4 2 3      ","1 2 3.5 3.5      ",3
"3","1 4 2 3      ","1 2 4 3      ",3
"4","1 4 2 3      ","1 2.5 2.5 4      ",1
"5","1 4 2 3      ","1 2.5 4 2.5      ",3
"6","1 4 2 3      ","1 3 4 2      ",2
"7","1 4 2 3      ","1.5 1.5 3 4      ",1
"8","1 4 2 3      ","2 1 3 4      ",2
"9","1 4 2 3      ","2.5 1 2.5 4      ",4
"10","1 4 2 3      ","3 1 2 4      ",2
"11","1 4 2 3      ","3 1.5 1.5 4      ",2
"12","1 4 3 2      ","1 2 4 3      ",2
"13","1 4 3 2      ","1 2.5 4 2.5      ",4
"14","1 4 3 2      ","1 3 4 2      ",2
"15","1 4 3 2      ","1.5 1.5 4 3      ",2
"16","1 4 3 2      ","1.5 3 4 1.5      ",2
"17","1 4 3 2      ","2 1 3 4      ",3
"18","1 4 3 2      ","2 1 3.5 3.5      ",3
"19","1 4 3 2      ","2 1 4 3      ",5
"20","1 4 3 2      ","2.5 1 2.5 4      ",3
"21","1 4 3 2      ","3 1 2 4      ",2
"22","2 3 1 4      ","1 2.5 2.5 4      ",2
"23","2 3 1 4      ","1 3 2 4      ",2
"24","2 3 1 4      ","1 3.5 2 3.5      ",3
"25","2 3 1 4      ","1 4 2 3      ",3
"26","2 3 1 4      ","1 4 2.5 2.5      ",3
"27","2 3 1 4      ","1 4 3 2      ",4
"28","2 3 1 4      ","1.5 3 1.5 4      ",3
"29","2 3 1 4      ","2 3 1 4      ",2
"30","2 3 1 4      ","2.5 2.5 1 4      ",2
"31","2 3 1 4      ","3 2 1 4      ",3
"32","2 3 4 1      ","2 3 4 1      ",2
"33","2 3 4 1      ","2.5 1 4 2.5      ",2
"34","2 3 4 1      ","2.5 2.5 4 1      ",3
"35","2 3 4 1      ","3 1 4 2      ",2
"36","2 3 4 1      ","3 1.5 4 1.5      ",3
"37","2 3 4 1      ","3 2 4 1      ",2
"38","2 3 4 1      ","3.5 1 3.5 2      ",3
"39","2 3 4 1      ","4 1 2 3      ",4
"40","2 3 4 1      ","4 1 2.5 2.5      ",3
"41","2 3 4 1      ","4 1 3 2      ",3
"42","3 2 1 4      ","1 4 2 3      ",2
"43","3 2 1 4      ","1 4 2.5 2.5      ",2
"44","3 2 1 4      ","1 4 3 2      ",3
"45","3 2 1 4      ","1.5 4 1.5 3      ",3
"46","3 2 1 4      ","2 3 1 4      ",3
"47","3 2 1 4      ","2 3.5 1 3.5      ",3
"48","3 2 1 4      ","2 4 1 3      ",2
"49","3 2 1 4      ","2.5 2.5 1 4      ",3
"50","3 2 1 4      ","3 2 1 4      ",4
"51","3 2 4 1      ","2 3 4 1      ",5
"52","3 2 4 1      ","2.5 2.5 4 1      ",3
"53","3 2 4 1      ","3 2 4 1      ",3
"54","3 2 4 1      ","3.5 2 3.5 1      ",3
"55","3 2 4 1      ","4 1 2 3      ",4
"56","3 2 4 1      ","4 1 2.5 2.5      ",3
"57","3 2 4 1      ","4 1 3 2      ",1
"58","3 2 4 1      ","4 1.5 1.5 3      ",1
"59","3 2 4 1      ","4 1.5 3 1.5      ",3
"60","3 2 4 1      ","4 2 3 1      ",2
"61","3 2 4 1      ","4 2.5 2.5 1      ",1
"62","4 1 2 3      ","2 4 3 1      ",2
"63","4 1 2 3      ","2.5 4 2.5 1      ",3
"64","4 1 2 3      ","3 4 1 2      ",5
"65","4 1 2 3      ","3 4 1.5 1.5      ",2
"66","4 1 2 3      ","3 4 2 1      ",2
"67","4 1 2 3      ","3.5 3.5 1 2      ",3
"68","4 1 2 3      ","4 2 1 3      ",2
"69","4 1 2 3      ","4 2.5 1 2.5      ",3
"70","4 1 2 3      ","4 3 1 2      ",3
"71","4 1 3 2      ","2 4 3 1      ",2
"72","4 1 3 2      ","2.5 4 2.5 1      ",3
"73","4 1 3 2      ","3 4 2 1      ",3
"74","4 1 3 2      ","3.5 3.5 2 1      ",3
"75","4 1 3 2      ","4 2 1 3      ",3
"76","4 1 3 2      ","4 2.5 1 2.5      ",3
"77","4 1 3 2      ","4 2.5 2.5 1      ",2
"78","4 1 3 2      ","4 3 1 2      ",2
"79","4 1 3 2      ","4 3 1.5 1.5      ",1
"80","4 1 3 2      ","4 3 2 1      ",6
