"","P(A)_P(¬A)_P(B)_P(¬B)","P(A∨B)_P(A∨¬B)_P(¬A∨B)_P(¬B∨¬A)","n"
"1","1 4 2 3      ","1 2 3 4      ",3
"2","1 4 2 3      ","1 2 3.5 3.5      ",3
"3","1 4 2 3      ","1 2 4 3      ",2
"4","1 4 2 3      ","1 2.5 2.5 4      ",2
"5","1 4 2 3      ","1 2.5 4 2.5      ",1
"6","1 4 2 3      ","1 3 3 3      ",1
"7","1 4 2 3      ","1 3 4 2      ",3
"8","1 4 2 3      ","1 3.5 3.5 2      ",2
"9","1 4 2 3      ","1.5 1.5 3 4      ",3
"10","1 4 2 3      ","2 1 3 4      ",4
"11","1 4 2 3      ","2.5 1 2.5 4      ",1
"12","1 4 2 3      ","3 1 2 4      ",2
"13","1 4 2 3      ","3 1.5 1.5 4      ",1
"14","1 4 3 2      ","1 2 4 3      ",4
"15","1 4 3 2      ","1 2.5 4 2.5      ",1
"16","1 4 3 2      ","1 3 4 2      ",2
"17","1 4 3 2      ","1.5 1.5 4 3      ",3
"18","1 4 3 2      ","1.5 3 4 1.5      ",1
"19","1 4 3 2      ","2 1 3 4      ",2
"20","1 4 3 2      ","2 1 3.5 3.5      ",3
"21","1 4 3 2      ","2 1 4 3      ",4
"22","1 4 3 2      ","2.5 1 2.5 4      ",1
"23","1 4 3 2      ","2.5 1 4 2.5      ",1
"24","1 4 3 2      ","3 1 2 4      ",3
"25","1 4 3 2      ","3 1 3 3      ",1
"26","1 4 3 2      ","3.5 1 2 3.5      ",2
"27","2 3 1 4      ","1 2.5 2.5 4      ",2
"28","2 3 1 4      ","1 3 2 4      ",4
"29","2 3 1 4      ","1 3.5 2 3.5      ",1
"30","2 3 1 4      ","1 3.5 3.5 2      ",1
"31","2 3 1 4      ","1 4 2 3      ",2
"32","2 3 1 4      ","1 4 2.5 2.5      ",3
"33","2 3 1 4      ","1 4 3 2      ",2
"34","2 3 1 4      ","1.5 3 1.5 4      ",1
"35","2 3 1 4      ","2 3 1 4      ",4
"36","2 3 1 4      ","2.5 2.5 1 4      ",3
"37","2 3 1 4      ","3 1.5 1.5 4      ",1
"38","2 3 1 4      ","3 2 1 4      ",3
"39","2 3 4 1      ","1.5 3 4 1.5      ",1
"40","2 3 4 1      ","2 3 4 1      ",3
"41","2 3 4 1      ","2.5 1 4 2.5      ",2
"42","2 3 4 1      ","2.5 2.5 4 1      ",3
"43","2 3 4 1      ","3 1 4 2      ",4
"44","2 3 4 1      ","3 1.5 4 1.5      ",1
"45","2 3 4 1      ","3 2 4 1      ",4
"46","2 3 4 1      ","3.5 1 3.5 2      ",1
"47","2 3 4 1      ","4 1 2 3      ",2
"48","2 3 4 1      ","4 1 2.5 2.5      ",3
"49","2 3 4 1      ","4 1 3 2      ",3
"50","3 2 1 4      ","1 4 2 3      ",4
"51","3 2 1 4      ","1 4 2.5 2.5      ",3
"52","3 2 1 4      ","1 4 3 2      ",3
"53","3 2 1 4      ","1.5 4 1.5 3      ",1
"54","3 2 1 4      ","1.5 4 3 1.5      ",1
"55","3 2 1 4      ","2 3 1 4      ",3
"56","3 2 1 4      ","2 3.5 1 3.5      ",1
"57","3 2 1 4      ","2 4 1 3      ",3
"58","3 2 1 4      ","2.5 2.5 1 4      ",2
"59","3 2 1 4      ","2.5 4 1 2.5      ",1
"60","3 2 1 4      ","3 2 1 4      ",2
"61","3 2 1 4      ","3.5 2 1 3.5      ",1
"62","3 2 4 1      ","2 3 4 1      ",2
"63","3 2 4 1      ","2 3.5 3.5 1      ",2
"64","3 2 4 1      ","2 4 3 1      ",1
"65","3 2 4 1      ","2.5 2.5 4 1      ",2
"66","3 2 4 1      ","3 2 4 1      ",3
"67","3 2 4 1      ","3.5 2 3.5 1      ",1
"68","3 2 4 1      ","4 1 2 3      ",3
"69","3 2 4 1      ","4 1 2.5 2.5      ",3
"70","3 2 4 1      ","4 1 3 2      ",4
"71","3 2 4 1      ","4 1.5 1.5 3      ",1
"72","3 2 4 1      ","4 1.5 3 1.5      ",1
"73","3 2 4 1      ","4 2 1 3      ",1
"74","3 2 4 1      ","4 2 3 1      ",3
"75","3 2 4 1      ","4 2.5 2.5 1      ",2
"76","4 1 2 3      ","1.5 4 3 1.5      ",1
"77","4 1 2 3      ","2 4 3 1      ",2
"78","4 1 2 3      ","2.5 4 1 2.5      ",1
"79","4 1 2 3      ","2.5 4 2.5 1      ",1
"80","4 1 2 3      ","3 2 1 4      ",1
"81","4 1 2 3      ","3 4 1 2      ",4
"82","4 1 2 3      ","3 4 1.5 1.5      ",3
"83","4 1 2 3      ","3 4 2 1      ",4
"84","4 1 2 3      ","3.5 3.5 1 2      ",3
"85","4 1 2 3      ","4 2 1 3      ",2
"86","4 1 2 3      ","4 2.5 1 2.5      ",1
"87","4 1 2 3      ","4 3 1 2      ",2
"88","4 1 3 2      ","2 3 4 1      ",1
"89","4 1 3 2      ","2 3.5 3.5 1      ",1
"90","4 1 3 2      ","2 4 3 1      ",2
"91","4 1 3 2      ","2.5 4 2.5 1      ",1
"92","4 1 3 2      ","3 4 2 1      ",3
"93","4 1 3 2      ","3.5 3.5 2 1      ",3
"94","4 1 3 2      ","4 1.5 1.5 3      ",1
"95","4 1 3 2      ","4 2 1 3      ",2
"96","4 1 3 2      ","4 2.5 1 2.5      ",1
"97","4 1 3 2      ","4 2.5 2.5 1      ",2
"98","4 1 3 2      ","4 3 1 2      ",4
"99","4 1 3 2      ","4 3 1.5 1.5      ",3
"100","4 1 3 2      ","4 3 2 1      ",4
