"","Count","P(A)_P(¬A)_P(B)_P(¬B)","P(A∨B)_P(A∨¬B)_P(¬A∨B)_P(¬B∨¬A)","number","freq"
"1",1,"1 4 2 3","1 2 3 4",2,0.285714285714286
"2",2,"1 4 2 3","1 2 4 3",1,0.142857142857143
"3",3,"1 4 2 3","1 3 4 2",1,0.142857142857143
"4",4,"1 4 2 3","2 1 3 4",2,0.285714285714286
"5",5,"1 4 2 3","3 1 2 4",1,0.142857142857143
"6",1,"1 4 3 2","1 2 4 3",2,0.285714285714286
"7",2,"1 4 3 2","1 3 4 2",1,0.142857142857143
"8",3,"1 4 3 2","2 1 3 4",1,0.142857142857143
"9",4,"1 4 3 2","2 1 4 3",2,0.285714285714286
"10",5,"1 4 3 2","3 1 2 4",1,0.142857142857143
"11",1,"2 3 1 4","1 3 2 4",1,0.333333333333333
"12",2,"2 3 1 4","2 3 1 4",1,0.333333333333333
"13",3,"2 3 1 4","3 2 1 4",1,0.333333333333333
"14",1,"2 3 4 1","2 3 4 1",1,0.333333333333333
"15",2,"2 3 4 1","3 1 4 2",1,0.333333333333333
"16",3,"2 3 4 1","3 2 4 1",1,0.333333333333333
"17",1,"3 2 1 4","2 4 1 3",1,1
"18",1,"3 2 4 1","2 4 3 1",1,0.333333333333333
"19",2,"3 2 4 1","4 2 1 3",1,0.333333333333333
"20",3,"3 2 4 1","4 2 3 1",1,0.333333333333333
"21",1,"4 1 2 3","2 4 3 1",1,0.125
"22",2,"4 1 2 3","3 2 1 4",1,0.125
"23",3,"4 1 2 3","3 4 1 2",2,0.25
"24",4,"4 1 2 3","3 4 2 1",2,0.25
"25",5,"4 1 2 3","4 2 1 3",1,0.125
"26",6,"4 1 2 3","4 3 1 2",1,0.125
"27",1,"4 1 3 2","2 4 3 1",1,0.125
"28",2,"4 1 3 2","3 4 2 1",2,0.25
"29",3,"4 1 3 2","4 2 1 3",1,0.125
"30",4,"4 1 3 2","4 3 1 2",2,0.25
"31",5,"4 1 3 2","4 3 2 1",2,0.25
