"Count","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A∨¬B)_P(¬A∨B)_P(¬B∨¬A)","number","freq"
1,"1 2 3 4","1 2 3 4",1,0.5
2,"1 2 3 4","2 1 3 4",1,0.5
1,"1 2 4 3","1 2 3 4",1,0.333333333333333
2,"1 2 4 3","2 1 3 4",2,0.666666666666667
1,"1 3 2 4","1 3 2 4",1,1
1,"1 3 4 2","3 1 2 4",2,1
1,"1 4 2 3","2 3 1 4",2,0.666666666666667
2,"1 4 2 3","3 2 1 4",1,0.333333333333333
1,"1 4 3 2","2 3 1 4",1,0.333333333333333
2,"1 4 3 2","3 2 1 4",2,0.666666666666667
1,"2 1 3 4","1 2 4 3",2,0.666666666666667
2,"2 1 3 4","2 1 4 3",1,0.333333333333333
1,"2 1 4 3","1 2 4 3",1,0.5
2,"2 1 4 3","2 1 4 3",1,0.5
1,"2 3 1 4","1 4 2 3",2,0.666666666666667
2,"2 3 1 4","1 4 3 2",1,0.333333333333333
1,"2 3 4 1","4 1 2 3",2,0.5
2,"2 3 4 1","4 1 3 2",1,0.25
3,"2 3 4 1","4 2 1 3",1,0.25
1,"2 4 1 3","2 4 1 3",1,1
1,"2 4 3 1","3 2 1 4",1,0.333333333333333
2,"2 4 3 1","4 2 1 3",2,0.666666666666667
1,"3 1 2 4","1 3 4 2",2,1
1,"3 1 4 2","3 1 4 2",1,1
1,"3 2 1 4","1 4 2 3",1,0.333333333333333
2,"3 2 1 4","1 4 3 2",2,0.666666666666667
1,"3 2 4 1","4 1 2 3",1,0.333333333333333
2,"3 2 4 1","4 1 3 2",2,0.666666666666667
1,"3 4 1 2","3 4 1 2",1,0.5
2,"3 4 1 2","3 4 2 1",1,0.5
1,"3 4 2 1","4 3 1 2",2,0.666666666666667
2,"3 4 2 1","4 3 2 1",1,0.333333333333333
1,"4 1 2 3","2 3 4 1",2,0.5
2,"4 1 2 3","2 4 3 1",1,0.25
3,"4 1 2 3","3 2 4 1",1,0.25
1,"4 1 3 2","2 3 4 1",1,0.333333333333333
2,"4 1 3 2","3 2 4 1",2,0.666666666666667
1,"4 2 1 3","2 3 4 1",1,0.333333333333333
2,"4 2 1 3","2 4 3 1",2,0.666666666666667
1,"4 2 3 1","4 2 3 1",1,1
1,"4 3 1 2","3 4 1 2",1,0.333333333333333
2,"4 3 1 2","3 4 2 1",2,0.666666666666667
1,"4 3 2 1","3 4 2 1",1,0.333333333333333
2,"4 3 2 1","4 3 1 2",1,0.333333333333333
3,"4 3 2 1","4 3 2 1",1,0.333333333333333
