"","Count","P(A∨B)_P(A∨¬B)_P(¬A∨B)_P(¬B∨¬A)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","number","freq"
"1",1,"1 2 3 4","1 2 3 4",1,0.5
"2",2,"1 2 3 4","1 2 4 3",1,0.5
"3",1,"1 2 4 3","2 1 3 4",2,0.666666666666667
"4",2,"1 2 4 3","2 1 4 3",1,0.333333333333333
"5",1,"1 3 2 4","1 3 2 4",1,1
"6",1,"1 3 4 2","3 1 2 4",2,1
"7",1,"1 4 2 3","2 3 1 4",2,0.666666666666667
"8",2,"1 4 2 3","3 2 1 4",1,0.333333333333333
"9",1,"1 4 3 2","2 3 1 4",1,0.333333333333333
"10",2,"1 4 3 2","3 2 1 4",2,0.666666666666667
"11",1,"2 1 3 4","1 2 3 4",1,0.333333333333333
"12",2,"2 1 3 4","1 2 4 3",2,0.666666666666667
"13",1,"2 1 4 3","2 1 3 4",1,0.5
"14",2,"2 1 4 3","2 1 4 3",1,0.5
"15",1,"2 3 1 4","1 4 2 3",2,0.666666666666667
"16",2,"2 3 1 4","1 4 3 2",1,0.333333333333333
"17",1,"2 3 4 1","4 1 2 3",2,0.5
"18",2,"2 3 4 1","4 1 3 2",1,0.25
"19",3,"2 3 4 1","4 2 1 3",1,0.25
"20",1,"2 4 1 3","2 4 1 3",1,1
"21",1,"2 4 3 1","4 1 2 3",1,0.333333333333333
"22",2,"2 4 3 1","4 2 1 3",2,0.666666666666667
"23",1,"3 1 2 4","1 3 4 2",2,1
"24",1,"3 1 4 2","3 1 4 2",1,1
"25",1,"3 2 1 4","1 4 2 3",1,0.25
"26",2,"3 2 1 4","1 4 3 2",2,0.5
"27",3,"3 2 1 4","2 4 3 1",1,0.25
"28",1,"3 2 4 1","4 1 2 3",1,0.333333333333333
"29",2,"3 2 4 1","4 1 3 2",2,0.666666666666667
"30",1,"3 4 1 2","3 4 1 2",1,0.5
"31",2,"3 4 1 2","4 3 1 2",1,0.5
"32",1,"3 4 2 1","3 4 1 2",1,0.25
"33",2,"3 4 2 1","4 3 1 2",2,0.5
"34",3,"3 4 2 1","4 3 2 1",1,0.25
"35",1,"4 1 2 3","2 3 4 1",2,0.666666666666667
"36",2,"4 1 2 3","3 2 4 1",1,0.333333333333333
"37",1,"4 1 3 2","2 3 4 1",1,0.333333333333333
"38",2,"4 1 3 2","3 2 4 1",2,0.666666666666667
"39",1,"4 2 1 3","2 3 4 1",1,0.333333333333333
"40",2,"4 2 1 3","2 4 3 1",2,0.666666666666667
"41",1,"4 2 3 1","4 2 3 1",1,1
"42",1,"4 3 1 2","3 4 2 1",2,0.666666666666667
"43",2,"4 3 1 2","4 3 2 1",1,0.333333333333333
"44",1,"4 3 2 1","3 4 2 1",1,0.5
"45",2,"4 3 2 1","4 3 2 1",1,0.5
